Index,country,gender,age,WUR2000,WUR2001,WUR2002,WUR2003,WUR2004,WUR2005,WUR2006,WUR2007,WUR2008,WUR2009,WUR2010,WUR2011,WUR2012,WUR2013,WUR2014,WUR2015,WUR2016,WUR2017,WUR2018,WUR2019,WUR2020,WUR2021,WUR2022,WUR2023,WUR2024,WUR2025
151,Somalia,Sex: Total,"Age (Youth, adults): 15-24",33.441,33.299,33.217,33.177,33.198,33.281,33.385,33.316,33.363,33.381,33.444,33.486,33.831,33.945,33.929,33.174,33.01,33.313,33.781,33.919,36.021,35.706,34.661,34.48,34.406,34.301
152,South Africa,Sex: Total,"Age (Youth, adults): 15-24",36.803,36.491,36.311,36.503,36.346,36.276,36.075,36.116,36.536,38.589,45.536,39.739,41.897,42.81,43.958,41.999,43.936,42.811,43.761,47.406,43.499,49.864,49.827,50.467,50.847,51.419
153,South Korea,Sex: Total,"Age (Youth, adults): 15-24",9.997,9.357,7.918,9.434,9.803,9.325,8.913,7.842,8.653,9.215,8.527,8.297,7.732,7.918,8.579,9.912,10.155,9.774,10.101,9.844,10.144,8.055,6.65,5.029,5.419,6.075
154,Spain,Sex: Total,"Age (Youth, adults): 15-24",25.216,20.7,21.534,22.305,22.477,19.639,17.881,18.09,24.455,37.743,41.494,46.188,52.868,55.47,53.202,48.356,44.471,38.574,34.352,32.531,38.28,34.8,29.797,28.488,28.423,28.353
155,Sri Lanka,Sex: Total,"Age (Youth, adults): 15-24",23.949,25.207,28.763,27.764,28.472,27.872,22.24,21.567,18.79,21.207,18.722,16.83,16.848,18.008,18.849,19.261,20.074,17.399,20.489,20.375,25.328,23.5,24.743,26.711,26.586,26.388
156,St. Vin. and Gren.,Sex: Total,"Age (Youth, adults): 15-24",40.113,40.976,40.51,39.757,39.278,39.376,39.2,39.069,39.038,40.273,41.45,41.796,41.718,41.122,41.155,41.209,41.275,41.516,41.814,42.599,46.789,45.445,43.815,42.185,41.086,40.44
157,Sudan,Sex: Total,"Age (Youth, adults): 15-24",26.814,26.732,26.645,26.725,26.889,27.033,27.181,27.336,27.62,23.707,27.757,32.17,33.203,33.514,33.236,32.324,32.404,32.799,33.251,33.787,37.592,36.668,34.049,39.047,39.146,36.604
158,Suriname,Sex: Total,"Age (Youth, adults): 15-24",31.363,29.017,26.569,24.186,21.843,21.242,20.76,20.422,19.962,19.603,13.469,19.266,19.665,19.456,15.664,13.068,25.217,25.14,24.736,24.378,28.393,27.275,26.598,26.029,25.345,24.685
159,Sweden,Sex: Total,"Age (Youth, adults): 15-24",9.305,11.665,12.939,14.3,18.491,21.907,21.47,19.245,20.199,25.027,24.752,22.765,23.614,23.488,22.792,20.345,18.893,17.932,17.45,20.177,23.995,24.687,21.675,22.373,24.177,24.056
160,Switzerland,Sex: Total,"Age (Youth, adults): 15-24",4.817,5.63,5.579,8.51,7.719,8.771,7.694,7.08,7.014,8.451,8.224,7.731,8.319,8.753,8.605,8.822,8.581,8.062,7.927,7.986,8.603,8.828,7.497,6.725,6.748,6.766
161,Syria,Sex: Total,"Age (Youth, adults): 15-24",18.185,21.93,20.65,19.417,18.802,18.24,17.726,19.05,22.288,16.429,20.709,21.309,34.36,35.988,37.034,36.359,35.319,34.497,33.808,33.15,37.375,35.808,33.985,33.351,33.051,32.879
162,São Tomé and Principe,Sex: Total,"Age (Youth, adults): 15-24",20.927,22.149,25.2,23.429,23.344,23.891,24.286,23.539,22.831,22.714,21.613,20.964,20.091,20.352,20.209,20.238,20.407,20.704,20.849,21.099,23.566,22.922,21.396,21.118,21.011,20.863
163,Taiwan,Sex: Total,"Age (Youth, adults): 15-24",7.217,10.283,11.711,11.327,10.682,10.491,10.196,10.658,11.667,14.454,13.017,12.392,12.597,13.048,12.618,11.991,12.069,11.891,11.405,11.909,11.571,11.62,11.951,11.981,11.967,11.926
164,Tajikistan,Sex: Total,"Age (Youth, adults): 15-24",31.577,31.397,30.557,29.763,29.125,27.592,26.665,25.265,24.748,25.384,24.287,22.905,22.317,20.854,19.482,17.802,15.946,15.482,15.491,15.343,17.473,18.261,16.913,16.704,16.902,17.282
165,Tanzania,Sex: Total,"Age (Youth, adults): 15-24",5.59,5.366,5.45,5.536,5.665,5.861,6.092,5.693,5.328,4.886,5.972,6.912,6.417,5.82,3.758,3.643,3.586,3.526,3.491,3.463,3.81,3.805,3.48,3.479,3.481,3.471
166,Thailand,Sex: Total,"Age (Youth, adults): 15-24",6.91,7.979,5.823,5.24,4.635,4.857,4.879,4.586,4.915,5.757,2.61,2.969,2.784,1.253,3.151,3.151,3.795,4.469,4.139,4.344,5.309,5.961,5.391,5.522,5.271,5.643
167,Timor-Leste,Sex: Total,"Age (Youth, adults): 15-24",10.139,9.98,9.482,9.518,9.597,9.449,9.371,9.319,9.304,9.226,9.313,10.009,10.706,11.358,11.961,12.537,13.076,11.32,9.568,7.768,6.634,4.747,3.932,4.012,4.065,4.088
168,Togo,Sex: Total,"Age (Youth, adults): 15-24",7.312,7.251,7.234,7.075,7.131,7.341,7.447,6.627,5.644,4.801,3.923,3.134,3.394,3.674,3.972,4.29,6.775,9.254,9.317,9.362,10.525,10.432,9.505,9.193,9.102,9.029
169,Tonga,Sex: Total,"Age (Youth, adults): 15-24",10.68,11.738,12.821,13.902,10.523,6.839,2.912,3.202,3.466,3.877,4.203,4.5,4.722,5.065,5.505,5.833,6.014,6.314,6.675,6.396,7.887,6.334,7.027,6.898,6.75,6.649
170,Trinidad and Tobago,Sex: Total,"Age (Youth, adults): 15-24",23.086,21.073,20.642,21.094,16.955,16.296,12.86,11.228,10.404,11.634,9.74,8.528,8.572,6.219,5.86,5.833,8.631,8.916,9.027,9.026,11.634,12.934,11.818,10.927,10.37,9.836
171,Tunisia,Sex: Total,"Age (Youth, adults): 15-24",30.569,29.78,30.346,30.664,30.536,28.042,27.733,27.911,28.435,30.849,29.331,42.254,38.198,34.68,36.909,35.052,35.245,35.466,35.517,39.036,42.834,41.525,40.576,40.458,40.378,40.191
172,Turkey,Sex: Total,"Age (Youth, adults): 15-24",12.547,16.008,18.925,20.18,20.212,19.52,16.134,16.889,18.075,22.361,19.387,16.391,15.361,16.561,17.468,18.133,19.126,20.111,19.804,24.804,24.689,22.376,19.254,17.912,18.343,18.551
173,Turkmenistan,Sex: Total,"Age (Youth, adults): 15-24",22.654,21.425,19.882,18.044,16.559,14.458,12.584,10.72,9.201,8.117,8.311,8.371,8.809,8.822,8.995,8.9,8.73,8.415,8.408,8.352,10.14,10.274,8.992,8.961,9.137,9.368
